WELLNESS_life_satisfaction,DEMO_age
2,71
7,69
5,56
4,54
8,30
7,55
5,50
5,52
1,66
6,76
7,27
6,49
8,57
8,48
6,57
9,54
7,74
6,38
5,50
4,73
NA,NA
2,NA
NA,59
7,44
1,42
1,63
8,67
7,71
9,50
NA,NA
1,32
5,51
8,67
2,63
6,29
6,46
6,28
3,68
2,30
6,50
7,23
3,56
NA,NA
10,27
7,39
8,26
NA,NA
5,73
9,56
5,77
6,75
7,25
5,52
6,60
7,70
6,48
6,31
2,28
8,31
9,85
5,52
NA,52
7,55
6,48
6,36
8,35
6,44
NA,24
2,63
NA,36
9,NA
7,NA
4,69
NA,NA
2,32
1,60
3,32
8,NA
9,68
2,63
8,NA
6,31
3,36
8,25
10,29
8,44
10,66
4,27
NA,63
5,61
9,24
NA,81
6,85
5,62
8,75
7,33
10,72
6,39
8,36
NA,NA
NA,55
5,23
5,19
7,76
3,49
3,NA
8,NA
6,45
NA,20
3,30
3,18
6,37
5,NA
5,NA
1,57
8,66
9,35
NA,21
2,65
NA,NA
6,26
9,61
5,26
10,75
7,30
6,45
NA,25
2,67
4,28
9,18
7,21
7,19
5,34
2,45
10,58
9,34
5,27
6,29
7,62
7,21
8,91
6,64
10,20
7,40
5,28
3,34
NA,68
4,60
NA,71
6,30
8,60
7,31
8,30
5,59
8,58
8,70
5,67
10,33
8,26
6,38
7,62
NA,77
4,73
10,36
3,28
NA,38
8,61
1,50
NA,62
6,42
7,23
3,37
3,56
NA,22
5,22
6,71
7,55
8,78
10,25
7,48
9,58
8,38
5,61
8,62
9,63
8,50
5,NA
3,NA
4,60
NA,NA
5,44
6,50
NA,77
6,NA
1,NA
2,58
4,NA
4,NA
6,68
8,26
NA,18
5,21
8,33
6,39
8,54
NA,30
NA,NA
4,NA
4,53
6,28
7,34
6,58
NA,NA
3,56
NA,74
7,57
9,57
7,57
5,59
NA,46
1,25
4,32
2,65
3,20
NA,72
8,35
4,55
5,56
6,28
6,28
NA,70
NA,NA
9,66
7,47
1,28
8,30
4,50
9,65
3,53
3,61
6,26
3,25
10,24
8,56
NA,NA
3,NA
7,66
5,35
4,42
7,43
8,71
7,22
NA,44
2,50
4,50
4,74
7,32
1,60
8,25
NA,47
9,52
8,28
NA,44
7,54
8,55
1,45
NA,26
10,25
NA,38
NA,37
5,34
NA,45
8,37
9,27
6,36
7,59
NA,33
NA,55
7,26
8,19
7,32
6,62
NA,25
10,19
8,29
3,63
7,63
6,23
6,64
2,20
5,44
9,51
NA,NA
NA,54
NA,NA
7,42
8,26
NA,NA
NA,96
10,70
4,61
NA,49
3,57
6,35
9,58
7,30
6,48
8,64
2,52
NA,30
8,56
1,27
10,67
8,26
2,69
9,65
9,62
4,30
9,75
NA,NA
4,54
NA,NA
10,NA
7,79
5,57
7,42
2,54
8,55
NA,NA
6,28
8,60
8,73
8,83
9,64
8,62
3,29
7,NA
